Outgoing,Ingoing
Mathematical and Statistical Foundations (MSF),IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik Business Informatics IIa: Foundations of Modeling I: logic
Algorithmic Foundations (AL),IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik Business Informatics IIa: Foundations of Modeling I: logic
Artificial Intelligence (AI),IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik Business Informatics IIa: Foundations of Modeling I: logic
Software Development Fundamentals (SDF),IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik Business Informatics IIa: Foundations of Modeling I: logic
Algorithmic Foundations (AL),CS 306 Praktikum Software Engineering Software Engineering Practical
Software Development Fundamentals (SDF),CS 306 Praktikum Software Engineering Software Engineering Practical
Foundations of Programming Languages (FPL),CS 306 Praktikum Software Engineering Software Engineering Practical
Software Engineering (SE),CS 306 Praktikum Software Engineering Software Engineering Practical
Algorithmic Foundations (AL),CS 306 Praktikum Software Engineering Software Engineering Practical
Software Development Fundamentals (SDF),CS 306 Praktikum Software Engineering Software Engineering Practical
Algorithmic Foundations (AL),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Software Development Fundamentals (SDF),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Foundations of Programming Languages (FPL),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Software Engineering (SE),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Architecture and Organization (AR),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Operating Systems (OS),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Foundations of Programming Languages (FPL),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Software Development Fundamentals (SDF),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Systems Fundamentals (SF),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Mathematical and Statistical Foundations (MSF),CS 307 Algorithmen und Datenstrukturen Algorithms and Data Structures
Algorithmic Foundations (AL),CS 308 Softwaretechnik I Software Engineering I
Software Development Fundamentals (SDF),CS 308 Softwaretechnik I Software Engineering I
Foundations of Programming Languages (FPL),CS 308 Softwaretechnik I Software Engineering I
Software Engineering (SE),CS 308 Softwaretechnik I Software Engineering I
Architecture and Organization (AR),CS 308 Softwaretechnik I Software Engineering I
Operating Systems (OS),CS 308 Softwaretechnik I Software Engineering I
Foundations of Programming Languages (FPL),CS 308 Softwaretechnik I Software Engineering I
Software Development Fundamentals (SDF),CS 308 Softwaretechnik I Software Engineering I
Systems Fundamentals (SF),CS 308 Softwaretechnik I Software Engineering I
Algorithmic Foundations (AL),CS 308 Softwaretechnik I Software Engineering I
Software Development Fundamentals (SDF),CS 308 Softwaretechnik I Software Engineering I
Mathematical and Statistical Foundations (MSF),CS 309 Datenbanksysteme I Database Systems I
Process Modelling & Analysis (PMA),CS 309 Datenbanksysteme I Database Systems I
Mathematical and Statistical Foundations (MSF),CS 309 Datenbanksysteme I Database Systems I
Algorithmic Foundations (AL),CS 309 Datenbanksysteme I Database Systems I
Software Development Fundamentals (SDF),CS 309 Datenbanksysteme I Database Systems I
Foundations of Programming Languages (FPL),CS 309 Datenbanksysteme I Database Systems I
Software Engineering (SE),CS 309 Datenbanksysteme I Database Systems I
Architecture and Organization (AR),CS 309 Datenbanksysteme I Database Systems I
Operating Systems (OS),CS 309 Datenbanksysteme I Database Systems I
Foundations of Programming Languages (FPL),CS 309 Datenbanksysteme I Database Systems I
Software Development Fundamentals (SDF),CS 309 Datenbanksysteme I Database Systems I
Systems Fundamentals (SF),CS 309 Datenbanksysteme I Database Systems I
Architecture and Organization (AR),CS 309 Datenbanksysteme I Database Systems I
Operating Systems (OS),CS 309 Datenbanksysteme I Database Systems I
Foundations of Programming Languages (FPL),CS 309 Datenbanksysteme I Database Systems I
Software Development Fundamentals (SDF),CS 309 Datenbanksysteme I Database Systems I
Systems Fundamentals (SF),CS 309 Datenbanksysteme I Database Systems I
Algorithmic Foundations (AL),CS 309 Datenbanksysteme I Database Systems I
Software Development Fundamentals (SDF),CS 309 Datenbanksysteme I Database Systems I
Mathematical and Statistical Foundations (MSF),CS 405 Künstliche Intelligenz Artificial Intelligence
Algorithmic Foundations (AL),CS 405 Künstliche Intelligenz Artificial Intelligence
Artificial Intelligence (AI),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Development Fundamentals (SDF),CS 405 Künstliche Intelligenz Artificial Intelligence
Algorithmic Foundations (AL),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Development Fundamentals (SDF),CS 405 Künstliche Intelligenz Artificial Intelligence
Foundations of Programming Languages (FPL),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Development Fundamentals (SDF),CS 405 Künstliche Intelligenz Artificial Intelligence
Graphics and Interactive Techniques (GIT),CS 405 Künstliche Intelligenz Artificial Intelligence
Foundations of Programming Languages (FPL),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Development Fundamentals (SDF),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Engineering (SE),CS 405 Künstliche Intelligenz Artificial Intelligence
Data Management (DM),CS 405 Künstliche Intelligenz Artificial Intelligence
Networking and Communication (NC),CS 405 Künstliche Intelligenz Artificial Intelligence
Parallel and Distributed Computing (PDC),CS 405 Künstliche Intelligenz Artificial Intelligence
Foundations of Programming Languages (FPL),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Development Fundamentals (SDF),CS 405 Künstliche Intelligenz Artificial Intelligence
Software Engineering (SE),CS 405 Künstliche Intelligenz Artificial Intelligence
Data Management (DM),CS 405 Künstliche Intelligenz Artificial Intelligence
Networking and Communication (NC),CS 405 Künstliche Intelligenz Artificial Intelligence
Parallel and Distributed Computing (PDC),CS 405 Künstliche Intelligenz Artificial Intelligence
Algorithmic Foundations (AL),CS 406 Theoretische Informatik Theoretical Computer Science
Software Development Fundamentals (SDF),CS 406 Theoretische Informatik Theoretical Computer Science
Foundations of Programming Languages (FPL),CS 406 Theoretische Informatik Theoretical Computer Science
Software Engineering (SE),CS 406 Theoretische Informatik Theoretical Computer Science
Architecture and Organization (AR),CS 406 Theoretische Informatik Theoretical Computer Science
Operating Systems (OS),CS 406 Theoretische Informatik Theoretical Computer Science
Foundations of Programming Languages (FPL),CS 406 Theoretische Informatik Theoretical Computer Science
Software Development Fundamentals (SDF),CS 406 Theoretische Informatik Theoretical Computer Science
Systems Fundamentals (SF),CS 406 Theoretische Informatik Theoretical Computer Science
Mathematical and Statistical Foundations (MSF),CS 406 Theoretische Informatik Theoretical Computer Science
Algorithmic Foundations (AL),CS 406 Theoretische Informatik Theoretical Computer Science
Artificial Intelligence (AI),CS 406 Theoretische Informatik Theoretical Computer Science
Software Development Fundamentals (SDF),CS 406 Theoretische Informatik Theoretical Computer Science
Mathematical and Statistical Foundations (MSF),IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle Business Informatics IIb: Foundations of Modeling II: process models
Algorithmic Foundations (AL),IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle Business Informatics IIb: Foundations of Modeling II: process models
Artificial Intelligence (AI),IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle Business Informatics IIb: Foundations of Modeling II: process models
Software Development Fundamentals (SDF),IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle Business Informatics IIb: Foundations of Modeling II: process models
Algorithmic Foundations (AL),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Software Development Fundamentals (SDF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Foundations of Programming Languages (FPL),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Software Engineering (SE),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Architecture and Organization (AR),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Operating Systems (OS),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Foundations of Programming Languages (FPL),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Software Development Fundamentals (SDF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Systems Fundamentals (SF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Architecture and Organization (AR),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Operating Systems (OS),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Foundations of Programming Languages (FPL),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Software Development Fundamentals (SDF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Systems Fundamentals (SF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Mathematical and Statistical Foundations (MSF),CS 408 Selected Topics in IT-Security Selected Topics in IT-Security
Security (SEC),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Networking and Communication (NC),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Operating Systems (OS),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Systems Fundamentals (SF),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Parallel and Distributed Computing (PDC),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Architecture and Organization (AR),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Scientific Work (SW),Präsentationskompetenz und Rhetorik Presentation skills and rhetoric
Security (SEC),Change- und Projektmanagement Projectmanagement
Networking and Communication (NC),Change- und Projektmanagement Projectmanagement
Operating Systems (OS),Change- und Projektmanagement Projectmanagement
Systems Fundamentals (SF),Change- und Projektmanagement Projectmanagement
Parallel and Distributed Computing (PDC),Change- und Projektmanagement Projectmanagement
Architecture and Organization (AR),Change- und Projektmanagement Projectmanagement
Scientific Work (SW),Change- und Projektmanagement Projectmanagement
Algorithmic Foundations (AL),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Software Development Fundamentals (SDF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Foundations of Programming Languages (FPL),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Software Engineering (SE),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Architecture and Organization (AR),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Operating Systems (OS),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Foundations of Programming Languages (FPL),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Software Development Fundamentals (SDF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Systems Fundamentals (SF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Architecture and Organization (AR),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Operating Systems (OS),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Foundations of Programming Languages (FPL),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Software Development Fundamentals (SDF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Systems Fundamentals (SF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Algorithmic Foundations (AL),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Software Development Fundamentals (SDF),IS 204 Wirtschaftsinformatik IV Business Informatics IV
Security (SEC),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Networking and Communication (NC),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Operating Systems (OS),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Systems Fundamentals (SF),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Parallel and Distributed Computing (PDC),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Architecture and Organization (AR),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Scientific Work (SW),BA 450 Bachelor-Abschlussarbeit Bachelor Thesis
Security (SEC),MAT 303 Lineare Algebra I Linear Algebra I
Networking and Communication (NC),MAT 303 Lineare Algebra I Linear Algebra I
Operating Systems (OS),MAT 303 Lineare Algebra I Linear Algebra I
Systems Fundamentals (SF),MAT 303 Lineare Algebra I Linear Algebra I
Parallel and Distributed Computing (PDC),MAT 303 Lineare Algebra I Linear Algebra I
Architecture and Organization (AR),MAT 303 Lineare Algebra I Linear Algebra I
Scientific Work (SW),MAT 303 Lineare Algebra I Linear Algebra I
Algorithmic Foundations (AL),CS 303 Praktische Informatik II Practical Computer Science II
Software Development Fundamentals (SDF),CS 303 Praktische Informatik II Practical Computer Science II
Foundations of Programming Languages (FPL),CS 303 Praktische Informatik II Practical Computer Science II
Software Engineering (SE),CS 303 Praktische Informatik II Practical Computer Science II
Architecture and Organization (AR),CS 303 Praktische Informatik II Practical Computer Science II
Operating Systems (OS),CS 303 Praktische Informatik II Practical Computer Science II
Foundations of Programming Languages (FPL),CS 303 Praktische Informatik II Practical Computer Science II
Software Development Fundamentals (SDF),CS 303 Praktische Informatik II Practical Computer Science II
Systems Fundamentals (SF),CS 303 Praktische Informatik II Practical Computer Science II
Foundations of Programming Languages (FPL),CS 305 Programmierpraktikum II Programming Lab II
Software Development Fundamentals (SDF),CS 305 Programmierpraktikum II Programming Lab II
Graphics and Interactive Techniques (GIT),CS 305 Programmierpraktikum II Programming Lab II
Foundations of Programming Languages (FPL),CS 305 Programmierpraktikum II Programming Lab II
Software Development Fundamentals (SDF),CS 305 Programmierpraktikum II Programming Lab II
Software Engineering (SE),CS 305 Programmierpraktikum II Programming Lab II
Data Management (DM),CS 305 Programmierpraktikum II Programming Lab II
Networking and Communication (NC),CS 305 Programmierpraktikum II Programming Lab II
Parallel and Distributed Computing (PDC),CS 305 Programmierpraktikum II Programming Lab II
