"Kurs","Count","Start","Ende"
"- Kommunikationspolitik","7","20101","20131"
"- Marketingtheorie","7","20101","20131"
"ACC 350 International Accounting [engl. Exp.]","5","20102","20152"
"ACC 510 Jahresabschluss","3","20201","20222"
"ACC 511 Konzernrechnungslegung","5","20102","20181"
"ACC 512 Jahresabschluss","2","20121","20151"
"ACC 520 IFRS Reporting and Capital Markets","2","20191","20202"
"ACC 530 Group Accounting","1","20212","20222"
"ACC 531 Unternehmensbewertung","3","20112","20201"
"ACC 532 Financial Statement Analysis & Equity Valuation","5","20102","20192"
"ACC 540 Financial Statement Analysis & Equity Valuation","12","20172","20222"
"ACC 551 Controlling","3","20102","20152"
"ACC 552 Wertorientiertes Controlling in der Unternehmenspraxis","5","20102","20161"
"ACC 553 Controlling","34","20111","20172"
"ACC 554 Internationales Konzerncontrolling","19","20102","20171"
"ACC 571 Prüfungslehre und -praxis","1","20102","20131"
"ACC 574 Business Opportunities in the Clean Energy Transition","2","20172","20201"
"ACC 620 Accounting for Financial Instruments & Financial Institutions","1","20192","20221"
"ACC 625 Practical Aspects of M&A Processes","1","20102","20121"
"ACC 627 Fallstudien 'Beratung von Finanzdienstleistern'","3","20172","20201"
"ACC 630 Integriertes Controlling 1 - Planung und Budgetierung","4","20151","20211"
"ACC 631 Integriertes Controlling 2 - Reporting und Performancesteuerung","3","20142","20202"
"ACC 636 Fallstudien für das wertorientierte Risiko-Controlling und -Management im Bankbereich","1","20172","20211"
"ACC 653 Kostenmanagement und - analyse","18","20102","20172"
"ACC 670 Audit Theory","1","20192","20211"
"ACC 672 Corporate Governance Theorie","7","20102","20151"
"BI 651 International Course - Information Technology","1","20122","20152"
"BI 652 International Course - System Design and Development","1","20122","20142"
"BI 653 International Course - Enterprise Applications","5","20131","20162"
"BI 654 International Course - Data and Web Science","1","20161","20182"
"BI 654 Professional Content Management Systems","1","20102","20131"
"Burnout Präventation","4","20101","20132"
"Business Etikette - internationale Do's und Don'ts","5","20102","20132"
"Business Model Innovation","1","20112","20152"
"CC 501 Decision Analysis: Business Analytics II","184","20102","20202"
"CC 503 Empirical Methods: Business Analytics I","95","20101","20191"
"Core skills for young professionals","5","20101","20132"
"Corporate Social Responsibility","5","20102","20152"
"Corporate Strategy","1","20121","20151"
"CS 302 Praktische Informatik I","32","20101","20152"
"CS 307 Algorithmen und Datenstrukturen","50","20101","20221"
"CS 309 Datenbanksysteme I","1","20201","20221"
"CS 500 Advanced Software Engineering","1392","20101","20222"
"CS 530 Database Systems II","617","20101","20222"
"CS 540 Advanced Computer Networks","658","20101","20222"
"CS 550 Algorithmics","332","20102","20222"
"CS 560 Large-Scale Data Management","652","20122","20222"
"CS 600 Model Driven Development","257","20102","20222"
"CS 604 Resilient Networking","4","20102","20142"
"CS 605 GPU Programming","4","20192","20222"
"CS 610 Principles of Dependables Systems","1","20102","20122"
"CS 620 Design of Reliable Systems","3","20102","20141"
"CS 621 Logikprogrammierung","2","20121","20151"
"CS 631 Transaktionssysteme","6","20152","20192"
"CS 640 Multimedia Technology","38","20111","20191"
"CS 642 Image and Video Processing","23","20112","20172"
"CS 643 Embedded Systems for Industrial Applications","4","20102","20142"
"CS 644 Computer Graphics","27","20112","20211"
"CS 645 Computer Games","46","20112","20211"
