"BachelorKurs","Count","Start","Ende"
"ACC 350 International Accounting [engl. Exp.]","6","20102","20151"
"ACC 351 International Accounting","5","20142","20221"
"ANA 301 Analysis für Wirtschaftsinformatiker","959","20102","20222"
"CC 302 Finanzmathematik","1","20142","20182"
"CC 305 Präsentationskompetenz und Rhetorik","1","20172","20222"
"Change- und Projektmanagement","698","20102","20222"
"CS 301 Formale Grundlagen der Informatik","1166","20102","20222"
"CS 302 Praktische Informatik I","1164","20102","20222"
"CS 303 Praktische Informatik II","879","20102","20222"
"CS 304 Programmierpraktikum I","879","20122","20222"
"CS 305 Programmierpraktikum II","664","20112","20222"
"CS 306 Praktikum Software Engineering","535","20132","20222"
"CS 307 Algorithmen und Datenstrukturen","765","20102","20222"
"CS 308 Softwaretechnik I","546","20132","20222"
"CS 309 Datenbanksysteme I","622","20102","20222"
"CS 403 Computer Networks","49","20102","20172"
"CS 404 Kryptographie I","88","20102","20222"
"CS 405 Künstliche Intelligenz","204","20102","20222"
"CS 406 Theoretische Informatik","47","20112","20222"
"CS 407 Betriebsysteme","1","20112","20141"
"CS 408 Selected Topics in IT-Security","166","20102","20222"
"CS 409 Distributed and Parallel Computing","2","20122","20162"
"CS 410 GPU-Programmierung","3","20182","20222"
"CS 414 Einführung in Data Science","74","20152","20222"
"CS 651 Cryptography II","2","20122","20152"
"CS 651 Kryptographie II","2","20122","20152"
"Dummy 1","101","20102","20222"
"Dummy 10","3","20172","20222"
"Dummy 2","44","20112","20222"
"Dummy 3","4","20172","20221"
"Dummy 4","1","20172","20212"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","3","20102","20142"
"FIN 301 Investments and Asset Pricing","1","20122","20152"
"Finanzwirtschaft","901","20102","20222"
"Fremdsprachen-/und interkulturelle Kompetenz","87","20102","20162"
"Grundlagen der Ökonometrie","1","20192","20222"
"Grundlagen der Statistik","681","20102","20222"
"Grundlagen der Volkswirtschaftslehre","386","20102","20222"
"Grundlagen des externen Rechnungswesens","709","20102","20222"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","3","20112","20152"
"Information Systems in the Service Industry","8","20102","20142"
"Interkulturelle Kompetenz in einer globalisierten Welt","1","20151","20151"
"Interkulturelle Sensibilisierung","66","20112","20171"
"Interkulturelle Sensibilisierung: China und Ostasien","1","20131","20171"
"International Course I","1","20132","20162"
"Internes Rechnungswesen","795","20102","20222"
"IS 201 Wirtschaftsinformatik I: Einführung und Grundlagen","1184","20102","20222"
"IS 202 Wirtschaftsinformatik II","437","20102","20202"
"IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik","533","20152","20222"
"IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle","537","20152","20222"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","818","20102","20222"
"IS 204 Wirtschaftsinformatik IV","685","20102","20222"
"IS 403 Object Data Management","9","20102","20161"
"IS 404 Banking und IT-Management","53","20102","20172"
"IS 405 Integrated Information Systems","215","20112","20222"
"Kolloquium","123","20102","20171"
"Kolloquium zur Abschlussarbeit","1","20172","20172"
"Kommunikation im Team","67","20152","20222"
"Kommunikations-und Gesprächstraining","24","20182","20222"
"Konfliktmanagement","101","20152","20222"
"Makroökonomik A / Macroeconomics A","4","20102","20151"
"MAN 301 Strategic and International Management","2","20102","20162"
"MAN 401 Organization and Human Resources Management","33","20102","20171"
"MAN 455 Digital Social Innovation Lab ""Young Academy""","1","20172","20202"
"Management","721","20102","20222"
"Marketing","781","20102","20222"
"MAS 514 Stochastische Prozesse","1","20142","20182"
"MAT 301 Analysis I","1","20132","20151"
"MAT 302 Analysis II","3","20122","20161"
"MAT 303 Lineare Algebra I","834","20102","20222"
"MAT 304 Lineare Algebra II/A","2","20132","20161"
"MAT 306 Numerik","2","20112","20142"
"Mikroökonomik A / Microeconomics A","2","20122","20152"
"MKT 401 Marketing II","5","20102","20151"
"OPM 301 Operations Management","1","20102","20131"
"Präsentation und Rhetorik","1","20162","20192"
"Präsentationskompetenz und Rhetorik","613","20102","20222"
"Produktion","918","20102","20222"
"Programmierkurs C/C++","84","20152","20222"
"Programmierkurs in C","5","20112","20161"
"Recht","67","20102","20222"
"Selected Topics in IT-Security","7","20102","20141"
"SM 441 Seminar","199","20102","20202"
"SM 442 Seminar","49","20142","20221"
"SM 443 Seminar","16","20152","20222"
"SM 444 Seminar","1","20172","20212"
"SM 445 Seminar","13","20142","20222"
"SM 446 Seminar","67","20132","20222"
"SM 448 Seminar","19","20142","20222"
"SM 449 Seminar","43","20122","20222"
"SM 450 Seminar","46","20132","20222"
"SM 452 Seminar","22","20152","20222"
"SM 453 Seminar","29","20142","20222"
"SM 454 Seminar","54","20142","20222"
"SM 456 Seminar","8","20172","20222"
"SM 457 Seminar","27","20172","20222"
"Softwaretechnik I und Praktikum","146","20102","20171"
"Splinefunktionen","1","20122","20161"
"Sprachkurs","116","20152","20222"
"TAX 350 International Taxation","2","20102","20131"
"Theoretische Informatik","1","20102","20141"
"VL Wirtschaftsinformatik für BaKuWi","1","20172","20181"
"Zeit-/ und Selbstmanagement","305","20102","20202"
"Zeitmanagement","640","20142","20222"
