"BachelorExam","MIN(p.semester)"
"ACC 350 International Accounting [engl. Exp.]","20121"
"ACC 351 International Accounting","20162"
"ANA 301 Analysis für Wirtschaftsinformatiker","20111"
"CC 302 Finanzmathematik","20152"
"CC 305 Präsentationskompetenz und Rhetorik","20202"
"Change- und Projektmanagement","20131"
"CS 301 Formale Grundlagen der Informatik","20102"
"CS 302 Praktische Informatik I","20102"
"CS 303 Praktische Informatik II","20111"
"CS 304 Programmierpraktikum I","20132"
"CS 305 Programmierpraktikum II","20141"
"CS 306 Praktikum Software Engineering","20151"
"CS 307 Algorithmen und Datenstrukturen","20112"
"CS 308 Softwaretechnik I","20151"
"CS 309 Datenbanksysteme I","20121"
"CS 403 Computer Networks","20122"
"CS 404 Kryptographie I","20122"
"CS 405 Künstliche Intelligenz","20122"
"CS 406 Theoretische Informatik","20141"
"CS 407 Betriebsysteme","20132"
"CS 408 Selected Topics in IT-Security","20141"
"CS 409 Distributed and Parallel Computing","20151"
"CS 410 GPU-Programmierung","20202"
"CS 414 Einführung in Data Science","20182"
"CS 651 Cryptography II","20151"
"CS 651 Kryptographie II","20151"
"Dummy 1","20122"
"Dummy 10","20192"
"Dummy 2","20132"
"Dummy 3","20192"
"Dummy 4","20192"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","20122"
"FIN 301 Investments and Asset Pricing","20151"
"Finanzwirtschaft","20112"
"Finanzwissenschaft","20201"
"Fremdsprachen-/und interkulturelle Kompetenz","20112"
"Grundlagen der Ökonometrie","20201"
"Grundlagen der Statistik","20121"
"Grundlagen der Volkswirtschaftslehre","20122"
"Grundlagen des externen Rechnungswesens","20111"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","20132"
"Information Systems in the Service Industry","20122"
"Interkulturelle Kompetenz in einer globalisierten Welt","20151"
"Interkulturelle Sensibilisierung","20132"
"Interkulturelle Sensibilisierung: China und Ostasien","20152"
"International Course I","20152"
"Internes Rechnungswesen","20111"
"IS 201 Wirtschaftsinformatik I: Einführung und Grundlagen","20102"
"IS 202 Wirtschaftsinformatik II","20111"
"IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik","20171"
"IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle","20171"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","20112"
"IS 204 Wirtschaftsinformatik IV","20121"
"IS 403 Object Data Management","20122"
"IS 404 Banking und IT-Management","20122"
"IS 405 Integrated Information Systems","20132"
"Kolloquium","20131"
"Kolloquium zur Abschlussarbeit","20172"
"Kommunikation im Team","20171"
"Kommunikations-und Gesprächstraining","20211"
"Konfliktmanagement","20171"
"Makroökonomik A / Macroeconomics A","20131"
"MAN 301 Strategic and International Management","20122"
"MAN 401 Organization and Human Resources Management","20121"
"MAN 455 Digital Social Innovation Lab ""Young Academy""","20201"
"Management","20121"
"Marketing","20102"
"MAS 514 Stochastische Prozesse","20181"
"MAT 301 Analysis I","20132"
"MAT 302 Analysis II","20131"
"MAT 303 Lineare Algebra I","20112"
"MAT 304 Lineare Algebra II/A","20132"
"MAT 305 Einführung in die Wahrscheinlichkeitstheorie","20152"
"MAT 306 Numerik","20132"
"Mikroökonomik A / Microeconomics A","20132"
"MKT 401 Marketing II","20131"
"OPM 301 Operations Management","20122"
"Präsentation und Rhetorik","20162"
"Präsentation/Kommunikation","20202"
"Präsentationskompetenz und Rhetorik","20122"
"Produktion","20102"
"Programmierkurs C/C++","20171"
"Programmierkurs in C","20131"
"Recht","20122"
"Selected Topics in IT-Security","20131"
"SM 441 Seminar","20121"
"SM 442 Seminar","20162"
"SM 443 Seminar","20182"
"SM 444 Seminar","20202"
"SM 445 Seminar","20171"
"SM 446 Seminar","20162"
"SM 448 Seminar","20172"
"SM 449 Seminar","20162"
"SM 450 Seminar","20162"
"SM 452 Seminar","20171"
"SM 453 Seminar","20171"
"SM 454 Seminar","20172"
"SM 456 Seminar","20202"
"SM 457 Seminar","20202"
"Softwaretechnik I und Praktikum","20121"
"Splinefunktionen","20141"
"Sprachkurs","20161"
"TAX 350 International Taxation","20121"
"Theoretische Informatik","20131"
"VL Wirtschaftsinformatik für BaKuWi","20172"
"Wirtschaftspolitik","20201"
"Zeit-/ und Selbstmanagement","20111"
"Zeitmanagement","20152"
