"BachelorExam","MAX(p.semester)"
"ACC 350 International Accounting [engl. Exp.]","20142"
"ACC 351 International Accounting","20202"
"ANA 301 Analysis für Wirtschaftsinformatiker","20221"
"CC 302 Finanzmathematik","20152"
"CC 305 Präsentationskompetenz und Rhetorik","20202"
"Change- und Projektmanagement","20212"
"CS 301 Formale Grundlagen der Informatik","20221"
"CS 302 Praktische Informatik I","20221"
"CS 303 Praktische Informatik II","20221"
"CS 304 Programmierpraktikum I","20212"
"CS 305 Programmierpraktikum II","20221"
"CS 306 Praktikum Software Engineering","20221"
"CS 307 Algorithmen und Datenstrukturen","20221"
"CS 308 Softwaretechnik I","20221"
"CS 309 Datenbanksysteme I","20221"
"CS 403 Computer Networks","20162"
"CS 404 Kryptographie I","20221"
"CS 405 Künstliche Intelligenz","20212"
"CS 406 Theoretische Informatik","20221"
"CS 407 Betriebsysteme","20132"
"CS 408 Selected Topics in IT-Security","20221"
"CS 409 Distributed and Parallel Computing","20151"
"CS 410 GPU-Programmierung","20212"
"CS 414 Einführung in Data Science","20212"
"CS 651 Cryptography II","20151"
"CS 651 Kryptographie II","20151"
"Dummy 1","20221"
"Dummy 10","20212"
"Dummy 2","20212"
"Dummy 3","20211"
"Dummy 4","20192"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","20122"
"FIN 301 Investments and Asset Pricing","20151"
"Finanzwirtschaft","20221"
"Finanzwissenschaft","20201"
"Fremdsprachen-/und interkulturelle Kompetenz","20142"
"Grundlagen der Ökonometrie","20201"
"Grundlagen der Statistik","20221"
"Grundlagen der Volkswirtschaftslehre","20212"
"Grundlagen des externen Rechnungswesens","20221"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","20132"
"Information Systems in the Service Industry","20122"
"Interkulturelle Kompetenz in einer globalisierten Welt","20151"
"Interkulturelle Sensibilisierung","20141"
"Interkulturelle Sensibilisierung: China und Ostasien","20152"
"International Course I","20152"
"Internes Rechnungswesen","20221"
"IS 201 Wirtschaftsinformatik I: Einführung und Grundlagen","20221"
"IS 202 Wirtschaftsinformatik II","20171"
"IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik","20221"
"IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle","20221"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","20221"
"IS 204 Wirtschaftsinformatik IV","20221"
"IS 403 Object Data Management","20132"
"IS 404 Banking und IT-Management","20152"
"IS 405 Integrated Information Systems","20212"
"Kolloquium","20162"
"Kolloquium zur Abschlussarbeit","20172"
"Kommunikation im Team","20201"
"Kommunikations-und Gesprächstraining","20221"
"Konfliktmanagement","20221"
"Makroökonomik A / Macroeconomics A","20151"
"MAN 301 Strategic and International Management","20162"
"MAN 401 Organization and Human Resources Management","20151"
"MAN 455 Digital Social Innovation Lab ""Young Academy""","20201"
"Management","20221"
"Marketing","20221"
"MAS 514 Stochastische Prozesse","20181"
"MAT 301 Analysis I","20132"
"MAT 302 Analysis II","20132"
"MAT 303 Lineare Algebra I","20212"
"MAT 304 Lineare Algebra II/A","20161"
"MAT 305 Einführung in die Wahrscheinlichkeitstheorie","20152"
"MAT 306 Numerik","20141"
"Mikroökonomik A / Microeconomics A","20151"
"MKT 401 Marketing II","20141"
"OPM 301 Operations Management","20122"
"Präsentation und Rhetorik","20162"
"Präsentation/Kommunikation","20202"
"Präsentationskompetenz und Rhetorik","20221"
"Produktion","20221"
"Programmierkurs C/C++","20221"
"Programmierkurs in C","20161"
"Recht","20212"
"Selected Topics in IT-Security","20131"
"SM 441 Seminar","20182"
"SM 442 Seminar","20202"
"SM 443 Seminar","20221"
"SM 444 Seminar","20202"
"SM 445 Seminar","20212"
"SM 446 Seminar","20221"
"SM 448 Seminar","20212"
"SM 449 Seminar","20221"
"SM 450 Seminar","20221"
"SM 452 Seminar","20221"
"SM 453 Seminar","20211"
"SM 454 Seminar","20212"
"SM 456 Seminar","20221"
"SM 457 Seminar","20221"
"Softwaretechnik I und Praktikum","20161"
"Splinefunktionen","20141"
"Sprachkurs","20221"
"TAX 350 International Taxation","20122"
"Theoretische Informatik","20131"
"VL Wirtschaftsinformatik für BaKuWi","20172"
"Wirtschaftspolitik","20201"
"Zeit-/ und Selbstmanagement","20162"
"Zeitmanagement","20212"
