"MasterExam","MAX(p.semester)"
"- Kommunikationspolitik","20121"
"- Marketingtheorie","20112"
"ACC 350 International Accounting [engl. Exp.]","20112"
"ACC 510 Jahresabschluss","20221"
"ACC 511 Konzernrechnungslegung","20172"
"ACC 512 Jahresabschluss","20121"
"ACC 520 IFRS Reporting and Capital Markets","20192"
"ACC 530 Group Accounting","20212"
"ACC 531 Unternehmensbewertung","20172"
"ACC 532 Financial Statement Analysis & Equity Valuation","20191"
"ACC 540 Financial Statement Analysis & Equity Valuation","20211"
"ACC 551 Controlling","20111"
"ACC 552 Wertorientiertes Controlling in der Unternehmenspraxis","20141"
"ACC 553 Controlling","20142"
"ACC 554 Internationales Konzerncontrolling","20151"
"ACC 571 Prüfungslehre und -praxis","20112"
"ACC 574 Business Opportunities in the Clean Energy Transition","20191"
"ACC 620 Accounting for Financial Instruments & Financial Institutions","20201"
"ACC 625 Practical Aspects of M&A Processes","20102"
"ACC 627 Fallstudien 'Beratung von Finanzdienstleistern'","20191"
"ACC 630 Integriertes Controlling 1 - Planung und Budgetierung","20182"
"ACC 631 Integriertes Controlling 2 - Reporting und Performancesteuerung","20181"
"ACC 636 Fallstudien für das wertorientierte Risiko-Controlling und -Management im Bankbereich","20191"
"ACC 653 Kostenmanagement und - analyse","20151"
"ACC 670 Audit Theory","20192"
"ACC 672 Corporate Governance Theorie","20122"
"BI 651 International Course - Information Technology","20151"
"BI 652 International Course - System Design and Development","20141"
"BI 653 International Course - Enterprise Applications","20161"
"BI 654 International Course - Data and Web Science","20161"
"BI 654 Professional Content Management Systems","20112"
"Burnout Präventation","20111"
"Business Etikette - internationale Do's und Don'ts","20121"
"Business Model Innovation","20122"
"CC 501 Decision Analysis: Business Analytics II","20201"
"CC 503 Empirical Methods: Business Analytics I","20191"
"Core skills for young professionals","20112"
"Corporate Social Responsibility","20132"
"Corporate Strategy","20122"
"CS 302 Praktische Informatik I","20131"
"CS 307 Algorithmen und Datenstrukturen","20212"
"CS 309 Datenbanksysteme I","20212"
"CS 500 Advanced Software Engineering","20212"
"CS 530 Database Systems II","20221"
"CS 540 Advanced Computer Networks","20172"
"CS 550 Algorithmics","20221"
"CS 560 Large-Scale Data Management","20212"
"CS 600 Model Driven Development","20212"
"CS 604 Resilient Networking","20112"
"CS 605 GPU Programming","20212"
"CS 610 Principles of Dependables Systems","20111"
"CS 620 Design of Reliable Systems","20111"
"CS 621 Logikprogrammierung","20122"
"CS 631 Transaktionssysteme","20171"
"CS 640 Multimedia Technology","20161"
"CS 642 Image and Video Processing","20161"
"CS 643 Embedded Systems for Industrial Applications","20112"
"CS 644 Computer Graphics","20171"
"CS 645 Computer Games","20162"
"CS 646 Higher Level Computer Vision","20211"
"CS 647 Image Processing","20202"
"CS 649 Secure Programming","20162"
"CS 650 Algorithmik II","20111"
"CS 651 Cryptography II","20212"
"CS 651 Kryptographie II","20212"
"CS 652 Data Security","20221"
"CS 653 Practical Applications of Cryptography","20161"
"CS 654 Internet of Things Security","20202"
"CS 655 Cryptography","20221"
"CS 660 Compiler Construction","20212"
"CS 661 Parallel Programming","20221"
"CS 663 Information Retrieval and Web Search","20131"
"CS 665 Selected Topics in IT-Security","20151"
"CS 667 Computer Vision","20162"
"CS 669 Design of Reliable and Dependable Systems","20171"
"CS 701 Selected Topics in Algorithmics and Cryptography","20201"
"CS 703 Data Analytics Seminar","20151"
"CS 704 Master Seminar Artificial Intelligence","20221"
"CS 705 Datenbankseminar","20221"
"CS 706 Seminar","20161"
"CS 707 Seminar Data and Web Science","20212"
"CS 708 Seminar Software Engineering","20221"
"CS 709 Seminar Text Analytics","20221"
"CS 710 Seminar Selected Topics in Data Science","20221"
"CS 711 Intelligent Software Infrastructures - Processes, Methods and Technologies","20152"
"CS 714 Seminar","20162"
"CS 715 Large-Scale Data Integration Seminar","20221"
"CS 716 Seminar IT-Security","20212"
"CS 717 Master Seminar on Computer Vision","20211"
"CS 718 AI and Data Science in Fiction and Society","20221"
"CS 719 Seminar on Process Analysis","20221"
"CS 721 Seminar Data-Science I","20221"
"Didaktik wirtschaftsethischen Argumentierens","20111"
"Diversity Management","20112"
"Dummy 1","20221"
"Dummy 10","20221"
"Dummy 2","20221"
"Dummy 3","20221"
"Dummy 4","20211"
"Dummy 5","20191"
"Dummy 6","20172"
"Dummy 7","20172"
"Dummy 8","20172"
"Dummy 9","20172"
"Durchsetzungsfähigkeit und Verhandlungstechnik - Beruflich und Privat erfolgreich kommunizieren","20122"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","20102"
"Entscheidungspsychologie","20102"
"FIN 500 Investments","20212"
